seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
3,0,S011,303,708,6,50,165.33,0.266286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1,S130,304,712,5,21,76.15,0.266352,0.5333333333333333,0.5333333333333333,0.6,0.0,0.6666666666666666,0.0,1.0,0.0,1.0
3,2,S125,304,710,5,44,139.71,0.26661,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,3,S055,304,712,5,50,155.73,0.26661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3,4,S071,304,712,5,31,105.34,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
3,5,S132,304,710,5,17,65.11,0.267423,0.27777777777777773,0.3333333333333333,0.4,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
3,6,S032,304,712,5,43,137.88,0.267423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3,7,S131,305,714,4,42,132.45,0.267407,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
3,8,S129,305,716,4,17,62.6,0.267407,0.6666666666666666,0.6666666666666666,0.75,0.0,1.0,0.0,1.0,0.0,0.6666666666666666
3,9,S124,305,714,4,38,119.65,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,10,S068,305,714,4,33,104.43,0.266803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,11,S075,305,716,4,44,133.75,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3,12,S066,305,714,4,20,70.53,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
3,13,S065,305,714,4,38,118.53,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,14,S046,305,712,4,23,76.87,0.267407,0.6,0.75,0.75,0.0,0.0,1.0,0.0,1.0,1.0
3,15,S042,305,714,4,24,79.33,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
3,16,S050,305,714,4,50,151.63,0.267407,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
3,17,S062,305,714,4,33,106.9,0.266417,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,18,S087,305,716,4,46,145.11,0.267175,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3,19,S067,305,716,4,46,141.78,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3,20,S095,305,714,4,24,80.91,0.266417,0.6,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0
3,21,S074,305,714,4,50,151.43,0.267288,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,22,S138,305,712,4,49,148.56,0.267407,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3,23,S136,305,714,4,28,91.22,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
3,24,S014,305,714,4,50,150.45,0.266417,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
3,25,S026,305,714,4,16,58.38,0.267407,0.4,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0
3,26,S100,306,718,3,50,155.54,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
3,27,S099,306,718,3,49,146.61,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3,28,S102,306,716,3,17,63.5,0.267348,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
3,29,S106,306,716,3,50,154.82,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
