seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
7,0,S011,303,708,6,26,94.1,0.266286,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,0.0,1.0
7,1,S130,304,712,5,50,152.61,0.266352,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,1.0,0.0,1.0,0.0,1.0
7,2,S125,304,710,5,20,68.27,0.26661,0.5,0.5,0.6,0.0,0.0,0.5,1.0,0.0,1.0
7,3,S055,304,712,5,50,150.81,0.26661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
7,4,S071,304,712,5,50,150.2,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
7,5,S132,304,710,5,18,63.31,0.267423,0.5,0.5,0.6,0.0,0.0,0.5,1.0,0.0,1.0
7,6,S032,304,712,5,50,149.92,0.267423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
7,7,S131,305,714,4,29,92.73,0.267407,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
7,8,S129,305,716,4,22,73.74,0.267407,0.4,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0
7,9,S124,305,714,4,47,140.78,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,10,S068,305,714,4,50,149.6,0.266803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,11,S075,305,716,4,50,149.29,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
7,12,S066,305,714,4,22,73.87,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
7,13,S065,305,714,4,20,68.18,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,14,S046,305,712,4,36,110.71,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
7,15,S042,305,714,4,40,124.04,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
7,16,S050,305,714,4,42,132.72,0.267407,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
7,17,S062,305,714,4,16,59.18,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,1.0,0.6666666666666666,0.0,1.0
7,18,S087,305,716,4,17,62.5,0.267175,0.6,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0
7,19,S067,305,716,4,17,61.32,0.266417,0.375,0.375,0.5,0.0,0.5,0.0,0.0,0.0,1.0
7,20,S095,305,714,4,32,104.28,0.266417,0.6,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0
7,21,S074,305,714,4,50,155.28,0.267288,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,22,S138,305,712,4,50,155.37,0.267407,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
7,23,S136,305,714,4,48,144.51,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
7,24,S014,305,714,4,33,103.56,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.0,0.0,1.0,0.0,1.0
7,25,S026,305,714,4,27,88.1,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
7,26,S100,306,718,3,50,150.71,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7,27,S099,306,718,3,46,139.12,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7,28,S102,306,716,3,29,92.36,0.267348,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
