seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
5,76,S077,307,720,2,25,74.97,0.267288,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,77,S073,307,720,2,28,83.88,0.266803,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,78,S086,307,720,2,34,98.83,0.267288,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5,79,S088,307,720,2,28,83.74,0.266803,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,80,S098,307,720,2,24,73.5,0.266803,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
5,81,S107,307,720,2,26,78.83,0.266803,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,82,S128,307,720,2,13,45.76,0.267288,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
5,83,S135,307,720,2,28,83.51,0.267288,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5,84,S126,307,720,2,25,76.44,0.266803,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5,85,S114,307,720,2,27,81.79,0.267175,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5,86,S999,307,718,2,32,103.16,0.266803,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
5,87,S503,307,718,2,43,134.34,0.266803,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,88,S094,307,720,2,27,81.4,0.267288,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5,89,S091,307,718,2,28,93.78,0.266803,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
5,90,S045,307,720,2,50,141.1,0.267288,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,91,S053,307,720,2,29,86.27,0.266803,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5,92,S063,307,720,2,30,89.21,0.266803,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5,93,S059,307,718,2,30,98.97,0.267175,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5,94,S084,307,718,2,45,142.8,0.266803,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5,95,S093,307,718,2,50,154.46,0.266803,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5,96,S122,308,722,1,31,102.66,0.266989,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,97,S505,308,720,1,18,58.27,0.266989,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,98,S101,308,722,1,27,92.89,0.267232,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,99,S105,308,722,1,50,156.12,0.266989,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,100,S112,308,722,1,26,89.52,0.266989,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,101,S110,308,722,1,26,89.9,0.267232,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,102,S083,308,722,1,24,82.6,0.267232,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,103,S028,308,722,1,29,99.09,0.267232,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,104,S029,308,722,1,36,117.63,0.267232,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,105,S005,308,722,1,39,128.41,0.266989,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
