seed,fold_idx,n_test_subjects,test_subjects,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
1,0,10,"['S011', 'S057', 'S059', 'S067', 'S077', 'S085', 'S089', 'S106', 'S127', 'S135']",278,654,31,50,179.79,0.266352,0.9179017061370002,0.9358880208975084,0.9354838709677419,0.8571428571428571,0.9090909090909091,0.8,0.9411764705882353,1.0,1.0
1,1,10,"['S056', 'S065', 'S073', 'S081', 'S084', 'S108', 'S119', 'S126', 'S130', 'S136']",278,648,31,28,113.22,0.267348,0.7533670033670035,0.7953730856956663,0.8064516129032258,0.4444444444444444,0.8333333333333334,1.0,0.9090909090909091,0.3333333333333333,1.0
1,2,10,"['S014', 'S035', 'S046', 'S086', 'S093', 'S096', 'S111', 'S114', 'S115', 'S125']",278,648,31,18,76.38,0.266545,0.6280748663101604,0.7795411419699845,0.8064516129032258,0.0,0.7272727272727273,0.5,0.9411764705882353,0.6,1.0
1,3,11,"['S026', 'S042', 'S044', 'S055', 'S088', 'S097', 'S109', 'S112', 'S113', 'S122', 'S999']",278,652,31,41,146.93,0.267232,0.8624338624338624,0.8760880696364567,0.8709677419354839,0.7142857142857143,0.8888888888888888,1.0,1.0,0.5714285714285714,1.0
1,4,11,"['S050', 'S058', 'S070', 'S071', 'S090', 'S100', 'S110', 'S137', 'S501', 'S503', 'S505']",278,648,31,45,156.07,0.266989,0.9444444444444445,0.9354838709677421,0.9354838709677419,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0
1,5,11,"['S060', 'S062', 'S076', 'S082', 'S083', 'S094', 'S099', 'S101', 'S132', 'S504', 'S506']",278,648,31,35,122.78,0.266073,0.8400793650793651,0.8939324116743471,0.9032258064516129,0.5,1.0,0.8571428571428571,0.9333333333333333,0.75,1.0
1,6,11,"['S010', 'S028', 'S032', 'S054', 'S069', 'S087', 'S091', 'S092', 'S102', 'S105', 'S134']",278,654,31,20,77.28,0.267232,0.719047619047619,0.8559139784946236,0.8387096774193549,0.6666666666666666,0.7142857142857143,1.0,0.9333333333333333,0.0,1.0
1,7,11,"['S029', 'S034', 'S045', 'S052', 'S068', 'S080', 'S095', 'S098', 'S131', 'S133', 'S502']",278,652,31,46,153.45,0.267427,0.8511904761904763,0.8629032258064516,0.8709677419354839,0.5,0.8571428571428571,1.0,1.0,0.75,1.0
1,8,11,"['S005', 'S037', 'S051', 'S053', 'S064', 'S074', 'S075', 'S079', 'S107', 'S116', 'S129']",278,658,31,50,168.06,0.266352,0.6982456140350877,0.8519524617996603,0.8709677419354839,0.4,0.8421052631578947,1.0,1.0,0.0,0.9473684210526315
1,9,10,"['S022', 'S061', 'S063', 'S066', 'S072', 'S078', 'S117', 'S124', 'S128', 'S138']",279,654,30,33,115.49,0.267656,0.7941643323996265,0.8589169000933706,0.8666666666666667,0.6666666666666666,0.8,0.8571428571428571,1.0,0.5,0.9411764705882353
