protocol,n_seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,accuracy_std,n_folds,n_sequences
LOSO,10,0.8946753112088937,0.020117115074865966,0.8821771833857869,0.9073206036283911,0.9155339805825242,0.01659345468387605,106,309
G10F,10,0.8228658547678981,0.023842474277404584,0.8071649674739421,0.8362881079578324,0.8605177993527509,0.019656031895223573,10,309
