seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
4,0,S011,303,708,6,50,159.67,0.266286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1,S130,304,712,5,26,93.69,0.266352,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,1.0,0.0,1.0,0.0,1.0
4,2,S125,304,710,5,18,69.11,0.26661,0.4666666666666666,0.4666666666666666,0.6,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0
4,3,S055,304,712,5,30,104.0,0.26661,0.7333333333333333,0.7333333333333333,0.8,0.0,0.6666666666666666,1.0,1.0,0.0,1.0
4,4,S071,304,712,5,50,164.09,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
4,5,S132,304,710,5,34,116.86,0.267423,0.7333333333333333,0.7333333333333333,0.8,0.0,1.0,0.0,0.6666666666666666,1.0,1.0
4,6,S032,304,712,5,15,59.48,0.267423,0.3,0.3,0.4,0.0,0.0,0.0,0.5,0.0,1.0
4,7,S131,305,714,4,15,59.87,0.267407,0.6,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
4,8,S129,305,716,4,13,54.61,0.267407,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.4
4,9,S124,305,714,4,50,165.06,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,10,S068,305,714,4,14,57.57,0.266803,0.3333333333333333,0.41666666666666663,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,1.0
4,11,S075,305,716,4,50,165.51,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.6666666666666666,0.0,1.0,0.0,1.0
4,12,S066,305,714,4,21,78.44,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4,13,S065,305,714,4,45,149.8,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,14,S046,305,712,4,50,163.48,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
4,15,S042,305,714,4,22,81.21,0.267407,0.4,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0
4,16,S050,305,714,4,46,153.05,0.267407,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
4,17,S062,305,714,4,45,152.05,0.266417,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,18,S087,305,716,4,22,80.79,0.267175,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
4,19,S067,305,716,4,31,107.7,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
4,20,S095,305,714,4,13,52.89,0.266417,0.16666666666666666,0.16666666666666666,0.25,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
4,21,S074,305,714,4,23,83.34,0.267288,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,22,S138,305,712,4,25,89.13,0.267407,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
4,23,S136,305,714,4,40,133.59,0.267407,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,0.0,1.0,0.6666666666666666,1.0
4,24,S014,305,714,4,50,164.48,0.266417,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4,25,S026,305,714,4,20,74.74,0.267407,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.0,0.0,1.0,0.0,1.0
4,26,S100,306,718,3,27,96.15,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
4,27,S099,306,718,3,23,84.08,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4,28,S102,306,716,3,26,92.37,0.267348,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
4,29,S106,306,716,3,16,63.27,0.26661,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0
