seed,fold_idx,n_test_subjects,test_subjects,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
4,0,10,"['S011', 'S057', 'S059', 'S067', 'S077', 'S085', 'S089', 'S106', 'S127', 'S135']",278,654,31,50,172.73,0.266352,0.8591871091871092,0.9030396127170319,0.9032258064516129,0.8571428571428571,0.9090909090909091,0.5,0.8888888888888888,1.0,1.0
4,1,10,"['S056', 'S065', 'S073', 'S081', 'S084', 'S108', 'S119', 'S126', 'S130', 'S136']",278,648,31,23,89.76,0.267348,0.7476495726495727,0.790818858560794,0.8064516129032258,0.3333333333333333,0.7692307692307693,0.8,0.8333333333333334,0.75,1.0
4,2,10,"['S014', 'S035', 'S046', 'S086', 'S093', 'S096', 'S111', 'S114', 'S115', 'S125']",278,648,31,50,174.53,0.266545,0.7722222222222221,0.8763440860215054,0.9032258064516129,0.0,0.8,1.0,1.0,0.8333333333333334,1.0
4,3,11,"['S026', 'S042', 'S044', 'S055', 'S088', 'S097', 'S109', 'S112', 'S113', 'S122', 'S999']",278,652,31,50,177.56,0.267232,0.8311355311355312,0.8394186458702587,0.8387096774193549,0.6153846153846154,0.8,1.0,1.0,0.5714285714285714,1.0
4,4,11,"['S050', 'S058', 'S070', 'S071', 'S090', 'S100', 'S110', 'S137', 'S501', 'S503', 'S505']",278,648,31,50,176.87,0.266989,0.9444444444444445,0.9354838709677421,0.9354838709677419,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0
4,5,11,"['S060', 'S062', 'S076', 'S082', 'S083', 'S094', 'S099', 'S101', 'S132', 'S504', 'S506']",278,648,31,32,120.5,0.266073,0.8082611832611833,0.8666596844016199,0.8709677419354839,0.4,0.9090909090909091,0.8571428571428571,0.9333333333333333,0.75,1.0
4,6,11,"['S010', 'S028', 'S032', 'S054', 'S069', 'S087', 'S091', 'S092', 'S102', 'S105', 'S134']",278,654,31,47,167.52,0.267232,0.8205128205128206,0.9826302729528535,0.967741935483871,1.0,0.9230769230769231,1.0,1.0,0.0,1.0
4,7,11,"['S029', 'S034', 'S045', 'S052', 'S068', 'S080', 'S095', 'S098', 'S131', 'S133', 'S502']",278,652,31,50,176.77,0.267427,0.8402777777777778,0.8588709677419355,0.8709677419354839,0.5,0.875,1.0,1.0,0.6666666666666666,1.0
4,8,11,"['S005', 'S037', 'S051', 'S053', 'S064', 'S074', 'S075', 'S079', 'S107', 'S116', 'S129']",278,658,31,50,180.43,0.266352,0.6982456140350877,0.8519524617996603,0.8709677419354839,0.4,0.8421052631578947,1.0,1.0,0.0,0.9473684210526315
4,9,10,"['S022', 'S061', 'S063', 'S066', 'S072', 'S078', 'S117', 'S124', 'S128', 'S138']",279,654,30,42,149.19,0.267656,0.8388888888888889,0.8788888888888889,0.9,0.4,0.8333333333333334,1.0,1.0,0.8,1.0
