variant_key,coord_v,extractor_v,temporal_v,loss_v,norm_v,seed,n_folds,macro_f1_mean,macro_f1_std,macro_f1_from_cm,weighted_f1_mean,accuracy_mean,epochs_run_mean,variant_time_s,f1_cm_anger,f1_cm_disgust,f1_cm_fear,f1_cm_happiness,f1_cm_sadness,f1_cm_surprise
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,10,0.8292946446971214,0.06263121968531528,0.8532626135091155,0.8786453876471854,0.8836559139784945,44.2,1329.2,0.6666666666666666,0.8524590163934426,0.8979591836734694,0.9645390070921985,0.75,0.9879518072289156
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,1,10,0.8153838771021433,0.10226030571891953,0.8378716511094346,0.8590619117946092,0.8708602150537634,34.3,1078.3,0.5609756097560976,0.8620689655172413,0.9803921568627451,0.9855072463768116,0.65625,0.9820359281437125
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,2,10,0.7969910216775543,0.0717161972833326,0.8169383373567435,0.8512639658465087,0.8578494623655913,33.2,1052.1,0.5822784810126582,0.8387096774193549,0.9166666666666666,0.9444444444444444,0.631578947368421,0.9879518072289156
A3_B3_C1_D2_E2,A3,B3,C1,D2,E2,0,10,0.5371405908905909,0.06885934498095458,0.5513281753335739,0.6319915917942482,0.6439784946236561,31.1,1004.2,0.3614457831325301,0.7154471544715447,0.2608695652173913,0.6712328767123288,0.4074074074074074,0.891566265060241
A3_B3_C1_D2_E2,A3,B3,C1,D2,E2,1,10,0.5671723456282279,0.13680093280621286,0.5971315976212387,0.6602541776166064,0.6602150537634409,33.7,1069.0,0.4523809523809524,0.7256637168141593,0.36,0.6714285714285714,0.5074626865671642,0.8658536585365854
A3_B3_C1_D2_E2,A3,B3,C1,D2,E2,2,10,0.521469056542586,0.09298851322524328,0.5557224020005577,0.6122948648442007,0.6278494623655912,31.0,1029.2,0.46,0.6608695652173913,0.20408163265306123,0.6766917293233082,0.49122807017543857,0.8414634146341463
A2_B1_C1_D2_E2,A2,B1,C1,D2,E2,0,10,0.8567570273723524,0.08706034808762543,0.8655213214969312,0.8893135745320405,0.8903225806451612,39.5,718.7,0.7073170731707317,0.8455284552845529,0.88,0.951048951048951,0.8214285714285714,0.9878048780487805
A2_B1_C1_D2_E2,A2,B1,C1,D2,E2,1,10,0.7999319379737335,0.09258087046300224,0.8100707008352952,0.8439930990977131,0.8544086021505375,37.1,700.4,0.5789473684210527,0.8059701492537313,0.8444444444444444,0.9645390070921985,0.6785714285714286,0.9879518072289156
A2_B1_C1_D2_E2,A2,B1,C1,D2,E2,2,10,0.8305254185672142,0.081707315288787,0.8484530042435496,0.8782918952836061,0.8835483870967742,35.3,683.0,0.691358024691358,0.8503937007874016,0.84,0.9710144927536232,0.75,0.9879518072289156
A2_B2_C1_D2_E2,A2,B2,C1,D2,E2,0,10,0.7440640259293511,0.07770222969773481,0.7728432928490382,0.8140535549816985,0.8253763440860216,37.2,929.5,0.4533333333333333,0.7903225806451613,0.8260869565217391,0.9444444444444444,0.6349206349206349,0.9879518072289156
A2_B2_C1_D2_E2,A2,B2,C1,D2,E2,1,10,0.7473696381591118,0.06859309731848551,0.7811521490636899,0.8175346159217126,0.825268817204301,45.1,1083.4,0.49411764705882355,0.7521367521367521,0.9019607843137255,0.9645390070921985,0.5862068965517241,0.9879518072289156
A2_B2_C1_D2_E2,A2,B2,C1,D2,E2,2,10,0.7812906718324675,0.09542666471212183,0.8032333244831826,0.83849117270869,0.8481720430107526,40.2,1000.0,0.5526315789473685,0.819672131147541,0.851063829787234,0.9577464788732394,0.65625,0.9820359281437125
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,0,10,0.7391134753905653,0.08156207879336773,0.7721449823742977,0.8083488019021825,0.8155913978494624,37.4,1067.5,0.47619047619047616,0.7627118644067796,0.8888888888888888,0.9577464788732394,0.5714285714285714,0.9759036144578314
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,1,10,0.7200076174928107,0.12153658363833575,0.7655259843314872,0.803205095078464,0.8155913978494624,38.6,1085.1,0.47368421052631576,0.765625,0.88,0.9420289855072463,0.5614035087719298,0.9704142011834319
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,10,0.7724557567475524,0.07378028030270893,0.7986744558815602,0.824657262890909,0.8350537634408601,41.1,1187.9,0.525,0.7413793103448276,0.92,0.951048951048951,0.6666666666666666,0.9879518072289156
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,10,0.7761466516226578,0.08971942744980221,0.8021932454734083,0.8341719061423947,0.8448387096774193,35.9,1093.5,0.6222222222222222,0.7936507936507936,0.8636363636363636,0.9577464788732394,0.6,0.9759036144578314
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,1,10,0.7321777562922065,0.1122781070955604,0.768147494716867,0.8054384911030814,0.8156989247311828,36.8,1124.8,0.5301204819277109,0.7833333333333333,0.8333333333333334,0.9343065693430657,0.5573770491803278,0.9704142011834319
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,2,10,0.799851249684841,0.09893078316929294,0.8134644049109004,0.8437705689840416,0.8577419354838709,40.2,1219.5,0.5428571428571428,0.832,0.875,0.9787234042553191,0.6875,0.9647058823529412
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,10,0.7921171925196693,0.07460254587186141,0.8224569639893238,0.8489454137859213,0.8609677419354839,40.8,1578.8,0.5526315789473685,0.8270676691729323,0.9130434782608695,0.9645390070921985,0.6896551724137931,0.9878048780487805
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,10,0.8013816647175782,0.07086342694943029,0.8201946738725776,0.8574011931120689,0.8641935483870968,42.4,1675.1,0.5675675675675675,0.848,0.9019607843137255,0.9645390070921985,0.6451612903225806,0.9939393939393939
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,10,0.813485930277726,0.07629536106938825,0.8298894821219415,0.8590834120106067,0.8641935483870966,40.1,1584.2,0.611764705882353,0.8333333333333334,0.9166666666666666,0.951048951048951,0.6785714285714286,0.9879518072289156
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,10,0.7651280610800735,0.07371305503557228,0.7907486247240204,0.8196040006355595,0.8318279569892473,30.5,1046.8,0.5432098765432098,0.8031496062992126,0.8979591836734694,0.9558823529411765,0.5862068965517241,0.9580838323353293
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,10,0.7283553827207079,0.11685214450812775,0.7464540457044205,0.790805330509565,0.8025806451612902,34.8,1146.6,0.5,0.7666666666666667,0.6956521739130435,0.9103448275862069,0.6363636363636364,0.9696969696969697
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,10,0.7300109248909559,0.13245356113444473,0.7618612878025081,0.7961985725195053,0.8189247311827957,36.0,1184.5,0.4722222222222222,0.7480916030534351,0.7924528301886793,0.9640287769784173,0.6181818181818182,0.9761904761904762
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,0,10,0.7251673833562379,0.12496769915822437,0.7404742155790522,0.7789813253980836,0.8029032258064517,33.2,1115.0,0.3076923076923077,0.7552447552447552,0.8333333333333334,0.9420289855072463,0.6229508196721312,0.9815950920245399
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,1,10,0.8142500871448239,0.05854595421976426,0.8410789333387049,0.8741590062455937,0.8770967741935485,37.6,1256.7,0.6493506493506493,0.8793103448275862,0.8846153846153846,0.965034965034965,0.6865671641791045,0.9815950920245399
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,2,10,0.7815160347048893,0.10711321173059661,0.8006541965497189,0.8376366310875449,0.8447311827956989,37.3,1267.9,0.55,0.8166666666666667,0.8214285714285714,0.9552238805970149,0.6666666666666666,0.9939393939393939
A2_B3_C1_D4_E2,A2,B3,C1,D4,E2,0,10,0.7604388602453618,0.12409116077120252,0.7809661602730339,0.8123821718634463,0.8287096774193549,37.1,1254.0,0.5063291139240507,0.7903225806451613,0.8444444444444444,0.9251700680272109,0.631578947368421,0.9879518072289156
A2_B3_C1_D4_E2,A2,B3,C1,D4,E2,1,10,0.7829837499961338,0.0638909599343862,0.8140708401632115,0.8448350959159908,0.857741935483871,41.1,1375.3,0.47058823529411764,0.828125,0.9411764705882353,0.9640287769784173,0.6865671641791045,0.9939393939393939
A2_B3_C1_D4_E2,A2,B3,C1,D4,E2,2,10,0.7698729219123954,0.08677816182075376,0.795031613280348,0.8169960630767082,0.8416129032258064,33.6,1208.8,0.4857142857142857,0.8088235294117647,0.8888888888888888,0.9781021897810219,0.6551724137931034,0.9534883720930233
A2_B3_C1_D2_E1,A2,B3,C1,D2,E1,0,10,0.4781515712056499,0.15480895780960569,0.4969458618903671,0.569000038820646,0.5926881720430108,47.9,1601.1,0.2222222222222222,0.4528301886792453,0.32558139534883723,0.7248322147651006,0.4117647058823529,0.8444444444444444
A2_B3_C1_D2_E1,A2,B3,C1,D2,E1,1,10,0.3955617888590025,0.12881305471106802,0.44160669477690223,0.489580365660062,0.5184946236559139,43.7,1544.9,0.27906976744186046,0.28865979381443296,0.2608695652173913,0.6013071895424836,0.358974358974359,0.8607594936708861
A2_B3_C1_D2_E1,A2,B3,C1,D2,E1,2,10,0.45885962724352825,0.1534274372842711,0.4846087396725056,0.5496718891570385,0.5890322580645162,48.1,1695.8,0.1891891891891892,0.4444444444444444,0.20512820512820512,0.7012987012987013,0.4838709677419355,0.8837209302325582
