seed,fold_idx,n_test_subjects,test_subjects,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
6,0,10,"['S011', 'S057', 'S059', 'S067', 'S077', 'S085', 'S089', 'S106', 'S127', 'S135']",278,654,31,38,137.75,0.266352,0.8679738562091504,0.898798228969007,0.9032258064516129,0.8,0.8,0.6666666666666666,0.9411764705882353,1.0,1.0
6,1,10,"['S056', 'S065', 'S073', 'S081', 'S084', 'S108', 'S119', 'S126', 'S130', 'S136']",278,648,31,35,130.18,0.267348,0.7974747474747476,0.8408602150537634,0.8387096774193549,0.6666666666666666,0.9090909090909091,0.8,0.9090909090909091,0.5,1.0
6,2,10,"['S014', 'S035', 'S046', 'S086', 'S093', 'S096', 'S111', 'S114', 'S115', 'S125']",278,648,31,38,138.63,0.266545,0.7716775599128539,0.8701243938435589,0.8709677419354839,0.5,0.8,0.5,0.9411764705882353,0.8888888888888888,1.0
6,3,11,"['S026', 'S042', 'S044', 'S055', 'S088', 'S097', 'S109', 'S112', 'S113', 'S122', 'S999']",278,652,31,27,105.08,0.267232,0.7997835497835498,0.8016338500209469,0.8064516129032258,0.5,0.7272727272727273,1.0,1.0,0.5714285714285714,1.0
6,4,11,"['S050', 'S058', 'S070', 'S071', 'S090', 'S100', 'S110', 'S137', 'S501', 'S503', 'S505']",278,648,31,50,183.74,0.266989,0.9444444444444445,0.9354838709677421,0.9354838709677419,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0
6,5,11,"['S060', 'S062', 'S076', 'S082', 'S083', 'S094', 'S099', 'S101', 'S132', 'S504', 'S506']",278,648,31,20,86.83,0.266073,0.6726136608489549,0.7521126564769829,0.8064516129032258,0.5714285714285714,0.9230769230769231,0.0,0.9333333333333333,0.6666666666666666,0.9411764705882353
6,6,11,"['S010', 'S028', 'S032', 'S054', 'S069', 'S087', 'S091', 'S092', 'S102', 'S105', 'S134']",278,654,31,50,181.59,0.267232,0.7817460317460317,0.9354838709677419,0.9354838709677419,0.8333333333333334,0.8571428571428571,1.0,1.0,0.0,1.0
6,7,11,"['S029', 'S034', 'S045', 'S052', 'S068', 'S080', 'S095', 'S098', 'S131', 'S133', 'S502']",278,652,31,31,118.39,0.267427,0.8291666666666666,0.8588709677419355,0.8709677419354839,0.6,0.875,1.0,1.0,0.5,1.0
6,8,11,"['S005', 'S037', 'S051', 'S053', 'S064', 'S074', 'S075', 'S079', 'S107', 'S116', 'S129']",278,658,31,37,139.45,0.266352,0.8701963241436926,0.9112094753011561,0.9032258064516129,0.75,0.8571428571428571,1.0,1.0,0.6666666666666666,0.9473684210526315
6,9,10,"['S022', 'S061', 'S063', 'S066', 'S072', 'S078', 'S117', 'S124', 'S128', 'S138']",279,654,30,20,82.14,0.267656,0.7929738562091503,0.8354248366013072,0.8333333333333334,0.75,0.6666666666666666,0.8,0.9411764705882353,0.6666666666666666,0.9333333333333333
