smooth_mode,aug_mode,seed,n_folds,macro_f1_mean,macro_f1_std,macro_f1_from_cm,weighted_f1_mean,accuracy_mean,epochs_run_mean,combo_time_s,f1_cm_anger,f1_cm_disgust,f1_cm_fear,f1_cm_happiness,f1_cm_sadness,f1_cm_surprise
F2,G0,0,10,0.7948288772630877,0.06434663287915544,0.8116768750630183,0.8402942770302703,0.8479569892473118,44.4,682.8,0.5609756097560976,0.7903225806451613,0.8936170212765957,0.9583333333333334,0.6909090909090909,0.9759036144578314
F2,G0,1,10,0.7384485330344464,0.1052959562931191,0.7542282688641584,0.7915784751384971,0.8060215053763441,39.4,655.0,0.4,0.7580645161290323,0.8260869565217391,0.9436619718309859,0.6440677966101694,0.9534883720930233
F2,G0,2,10,0.7822015202433159,0.050125131127810314,0.814505784435796,0.8457678789246751,0.8543010752688172,40.4,676.9,0.5526315789473685,0.8032786885245902,0.8695652173913043,0.971830985915493,0.7076923076923077,0.9820359281437125
F2,G1,0,10,0.8151061455744119,0.062445124603859696,0.8292892306074781,0.8597083692797763,0.8641935483870966,42.0,1110.8,0.6265060240963856,0.8166666666666667,0.875,0.9577464788732394,0.711864406779661,0.9879518072289156
F2,G1,1,10,0.7690481376781685,0.09126235853551372,0.7754373031991264,0.8192398170645449,0.8287096774193549,37.4,1028.8,0.4166666666666667,0.7786259541984732,0.875,0.9714285714285714,0.6229508196721312,0.9879518072289156
F2,G1,2,10,0.7903602776938691,0.09582297455967638,0.815028225167397,0.8432238799572765,0.8512903225806452,44.5,1163.4,0.6190476190476191,0.7899159663865546,0.8979591836734694,0.9571428571428572,0.6440677966101694,0.9820359281437125
F2,G2,0,10,0.7808354724337697,0.10352816756029948,0.7866253176118851,0.8230323773843697,0.8320430107526882,36.8,1151.1,0.5063291139240507,0.78125,0.8571428571428571,0.950354609929078,0.6428571428571429,0.9818181818181818
F2,G2,1,10,0.7731107798290461,0.0991678114950035,0.7932729892191238,0.8349133139239999,0.8351612903225807,38.9,1243.2,0.5542168674698795,0.7768595041322314,0.8461538461538461,0.9565217391304348,0.6440677966101694,0.9818181818181818
F2,G2,2,10,0.7851378448979068,0.14987294523868,0.7882730321940459,0.8225190085057257,0.8288172043010752,37.3,1234.2,0.5679012345679012,0.7966101694915254,0.8,0.9172932330827067,0.6774193548387096,0.9704142011834319
F2,G3,0,10,0.7708567729426863,0.10415606816669,0.802451071634169,0.8342747855748455,0.844301075268817,35.1,1431.6,0.5974025974025974,0.819672131147541,0.8,0.9577464788732394,0.6764705882352942,0.9634146341463414
F2,G3,1,10,0.7990211358129313,0.09977683959163643,0.819277897243999,0.859189766229864,0.8611827956989246,42.7,1701.2,0.6190476190476191,0.864406779661017,0.8571428571428571,0.9370629370629371,0.6440677966101694,0.9939393939393939
F2,G3,2,10,0.8071677876360539,0.051028399819418244,0.8231082783044767,0.8583622395503451,0.8641935483870966,41.9,1722.7,0.5945945945945946,0.8455284552845529,0.8695652173913043,0.9645390070921985,0.6764705882352942,0.9879518072289156
