smooth_mode,aug_mode,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
F0,G0,0,0,278,278,31,50,77.52,0.266715,0.8740740740740741,0.8967741935483872,0.9032258064516129,0.8888888888888888,0.8,0.6666666666666666,0.8888888888888888,1.0,1.0
F0,G0,0,1,278,278,31,32,51.04,0.267305,0.741931216931217,0.7725550435227855,0.7741935483870968,0.4444444444444444,0.6,0.8571428571428571,0.8,0.75,1.0
F0,G0,0,2,278,278,31,37,56.01,0.266715,0.7212121212121213,0.8269794721407625,0.8387096774193549,0.0,0.7272727272727273,1.0,1.0,0.6,1.0
F0,G0,0,3,278,278,31,28,45.77,0.267217,0.7443667443667444,0.7545680126325288,0.7741935483870968,0.36363636363636365,0.7692307692307693,1.0,1.0,0.3333333333333333,1.0
F0,G0,0,4,278,278,31,50,72.54,0.266974,0.8777777777777778,0.8666666666666667,0.8709677419354839,0.6666666666666666,0.8,1.0,1.0,0.8,1.0
F0,G0,0,5,278,278,31,48,70.94,0.2665,0.7985294117647058,0.8541745730550284,0.8709677419354839,0.5,1.0,0.6666666666666666,0.9333333333333333,0.75,0.9411764705882353
F0,G0,0,6,278,278,31,35,54.48,0.267217,0.7545454545454545,0.9020527859237537,0.9032258064516129,0.7272727272727273,0.8,1.0,1.0,0.0,1.0
F0,G0,0,7,278,278,31,50,72.27,0.267591,0.8839285714285713,0.8888248847926268,0.9032258064516129,0.5714285714285714,0.875,1.0,1.0,0.8571428571428571,1.0
F0,G0,0,8,278,278,31,50,72.49,0.266715,0.8526960784313725,0.8622390891840607,0.8709677419354839,0.4,0.875,1.0,0.9411764705882353,1.0,0.9
F0,G0,0,9,279,279,30,49,71.21,0.26808,0.8378787878787879,0.8678787878787879,0.8666666666666667,0.5,0.7272727272727273,0.8,1.0,1.0,1.0
F0,G0,1,0,278,278,31,50,73.8,0.266715,0.7872549019607843,0.8404807084123972,0.8387096774193549,0.6666666666666666,0.8333333333333334,0.4,0.8235294117647058,1.0,1.0
F0,G0,1,1,278,278,31,43,66.88,0.267305,0.7671717171717173,0.8056695992179863,0.8064516129032258,0.5,0.7272727272727273,0.8,0.9090909090909091,0.6666666666666666,1.0
F0,G0,1,2,278,278,31,45,69.9,0.266715,0.7545454545454545,0.8592375366568915,0.8709677419354839,0.0,0.8,1.0,1.0,0.7272727272727273,1.0
F0,G0,1,3,278,278,31,46,68.16,0.267217,0.7443667443667444,0.7545680126325288,0.7741935483870968,0.36363636363636365,0.7692307692307693,1.0,1.0,0.3333333333333333,1.0
F0,G0,1,4,278,278,31,32,52.02,0.266974,0.7894179894179895,0.7833077316948285,0.8064516129032258,0.4444444444444444,0.8888888888888888,0.8,0.8888888888888888,0.7142857142857143,1.0
F0,G0,1,5,278,278,31,50,71.7,0.2665,0.736489898989899,0.7964076246334311,0.8064516129032258,0.6666666666666666,0.7272727272727273,0.75,0.875,0.4,1.0
F0,G0,1,6,278,278,31,50,70.87,0.267217,0.7609126984126985,0.9157066052227343,0.9032258064516129,1.0,0.8333333333333334,0.8571428571428571,1.0,0.0,0.875
F0,G0,1,7,278,278,31,47,69.26,0.267591,0.7865740740740742,0.8241039426523297,0.8387096774193549,0.4444444444444444,0.875,1.0,1.0,0.4,1.0
