seed,fold_idx,n_test_subjects,test_subjects,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
2,0,10,"['S011', 'S057', 'S059', 'S067', 'S077', 'S085', 'S089', 'S106', 'S127', 'S135']",278,654,31,50,162.63,0.266352,0.9663299663299663,0.9680677745193874,0.967741935483871,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0
2,1,10,"['S056', 'S065', 'S073', 'S081', 'S084', 'S108', 'S119', 'S126', 'S130', 'S136']",278,648,31,29,99.83,0.267348,0.6988095238095239,0.7640552995391704,0.7741935483870968,0.25,0.8571428571428571,0.8,1.0,0.2857142857142857,1.0
2,2,10,"['S014', 'S035', 'S046', 'S086', 'S093', 'S096', 'S111', 'S114', 'S115', 'S125']",278,648,31,45,140.95,0.266545,0.8481481481481481,0.9111111111111112,0.9032258064516129,0.4,0.8,1.0,1.0,0.8888888888888888,1.0
2,3,11,"['S026', 'S042', 'S044', 'S055', 'S088', 'S097', 'S109', 'S112', 'S113', 'S122', 'S999']",278,652,31,32,107.41,0.267232,0.825036075036075,0.8290043290043291,0.8387096774193549,0.5454545454545454,0.8333333333333334,1.0,1.0,0.5714285714285714,1.0
2,4,11,"['S050', 'S058', 'S070', 'S071', 'S090', 'S100', 'S110', 'S137', 'S501', 'S503', 'S505']",278,648,31,50,156.98,0.266989,0.9385521885521886,0.9333659172368849,0.9354838709677419,0.8333333333333334,0.8888888888888888,1.0,1.0,0.9090909090909091,1.0
2,5,11,"['S060', 'S062', 'S076', 'S082', 'S083', 'S094', 'S099', 'S101', 'S132', 'S504', 'S506']",278,648,31,25,86.56,0.266073,0.47056342780026994,0.5782943711636411,0.6451612903225806,0.0,0.46153846153846156,0.75,0.7368421052631579,0.0,0.875
2,6,11,"['S010', 'S028', 'S032', 'S054', 'S069', 'S087', 'S091', 'S092', 'S102', 'S105', 'S134']",278,654,31,50,151.34,0.267232,0.7943722943722943,0.9501466275659823,0.9354838709677419,0.9090909090909091,0.8571428571428571,1.0,1.0,0.0,1.0
2,7,11,"['S029', 'S034', 'S045', 'S052', 'S068', 'S080', 'S095', 'S098', 'S131', 'S133', 'S502']",278,652,31,19,70.02,0.267427,0.7802350427350427,0.8097808105872621,0.8387096774193549,0.3333333333333333,0.875,0.8,1.0,0.75,0.9230769230769231
2,8,11,"['S005', 'S037', 'S051', 'S053', 'S064', 'S074', 'S075', 'S079', 'S107', 'S116', 'S129']",278,658,31,42,147.19,0.266352,0.6982456140350877,0.8519524617996603,0.8709677419354839,0.4,0.8421052631578947,1.0,1.0,0.0,0.9473684210526315
2,9,10,"['S022', 'S061', 'S063', 'S066', 'S072', 'S078', 'S117', 'S124', 'S128', 'S138']",279,654,30,50,168.96,0.267656,0.861904761904762,0.8961904761904762,0.9,0.5714285714285714,0.8,1.0,1.0,0.8,1.0
