variant_key,changed_dim,coord_v,extractor_v,temporal_v,loss_v,norm_v,n_seeds,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,accuracy_std,mean_f1_cm_anger,mean_f1_cm_disgust,mean_f1_cm_fear,mean_f1_cm_happiness,mean_f1_cm_sadness,mean_f1_cm_surprise
A1_B3_C1_D2_E2,A,A1,B3,C1,D2,E2,3,"[0, 1, 2]",0.8360242006584312,0.014886751702439539,0.8169383373567435,0.8532626135091155,0.8707885304659498,0.010535561691160588,0.6033069191451408,0.8510792197766796,0.931672669067627,0.9648302326378181,0.6792763157894738,0.9859798475338479
A2_B1_C1_D2_E2,B,A2,B1,C1,D2,E2,3,"[0, 1, 2]",0.8413483421919253,0.02318835914981201,0.8100707008352952,0.8655213214969312,0.8760931899641576,0.015580723903651048,0.6592074887610474,0.8339641017752286,0.8548148148148148,0.9622008169649242,0.75,0.9879028308355372
A2_B2_C1_D2_E2,B,A2,B2,C1,D2,E2,3,"[0, 1, 2]",0.7857429221319703,0.01282432334028872,0.7728432928490382,0.8032333244831826,0.8329390681003583,0.010771429306986052,0.5000275197798417,0.7873771546431515,0.8597038568742329,0.9555766434699607,0.6257925104907863,0.9859798475338479
A2_B4_C1_D2_E2,B,A2,B4,C1,D2,E2,3,"[0, 1, 2]",0.7787818075291151,0.014323427839922737,0.7655259843314872,0.7986744558815602,0.822078853046595,0.009174647125072693,0.4916248955722639,0.7565720582505358,0.8962962962962963,0.9502748051431457,0.5998329156223893,0.9780898742900597
A3_B3_C1_D2_E2,A,A3,B3,C1,D2,E2,3,"[0, 1, 2]",0.5680607249851234,0.020634340856432093,0.5513281753335739,0.5971315976212387,0.6440143369175627,0.013213221664571803,0.4246089118378275,0.7006601455010317,0.27498373262348413,0.6731177258214028,0.4686993880500034,0.8662944460769908
A2_B3_C1_D1_E2,D,A2,B3,C1,D1,E2,3,"[0, 1, 2]",0.7663546527436497,0.018360195696153946,0.7464540457044205,0.7907486247240204,0.8177777777777777,0.011967676991947953,0.5051440329218106,0.7726359586731048,0.7953547292583973,0.9434186525019334,0.6135841170323929,0.9679904260742583
A2_B3_C1_D2_E1,E,A2,B3,C1,D2,E1,3,"[0, 1, 2]",0.47438709877992496,0.02372013646820857,0.4416066947769022,0.4969458618903671,0.5667383512544804,0.034146101448608995,0.23016039295109061,0.3953114756460409,0.2638597218981445,0.6758127018687619,0.41820334419954913,0.8629749561159629
A2_B3_C1_D3_E2,D,A2,B3,C1,D3,E2,3,"[0, 1, 2]",0.7940691151558253,0.041334810040271494,0.7404742155790522,0.8410789333387049,0.8415770609318997,0.03037139025591783,0.5023476523476523,0.8170739222463359,0.8464590964590964,0.9540959437130754,0.6587282168393007,0.9857098593294914
A2_B3_C1_D4_E2,D,A2,B3,C1,D4,E2,3,"[0, 1, 2]",0.7966895379055311,0.013565679567813136,0.7809661602730339,0.8140708401632115,0.8426881720430108,0.01187673227654545,0.48754387831081797,0.8090903700189753,0.8915032679738562,0.9557670115955501,0.6577728417802097,0.9784598577537776
A2_B3_C2_D2_E2,C,A2,B3,C2,D2,E2,3,"[0, 1, 2]",0.7946017150337252,0.019263594129791346,0.768147494716867,0.8134644049109004,0.839426523297491,0.0175854581846474,0.5650666156690253,0.802994708994709,0.8573232323232324,0.956925484157208,0.6149590163934425,0.9703412326647349
A2_B3_C3_D2_E2,C,A2,B3,C3,D2,E2,3,"[0, 1, 2]",0.8241803733279477,0.004141250339315837,0.8201946738725776,0.8298894821219415,0.8631182795698923,0.0015206597444871767,0.5773212841324297,0.8361336675020885,0.910556976413754,0.9600423217444494,0.6711292971026008,0.9898986930723633
