seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
1,0,S011,303,708,6,50,160.55,0.266286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,S130,304,712,5,26,89.65,0.266352,0.7333333333333333,0.7333333333333333,0.8,0.0,1.0,0.0,1.0,0.6666666666666666,1.0
1,2,S125,304,710,5,32,109.34,0.26661,0.7333333333333333,0.7333333333333333,0.8,0.0,1.0,0.6666666666666666,1.0,0.0,1.0
1,3,S055,304,712,5,50,158.82,0.26661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,4,S071,304,712,5,50,159.51,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1,5,S132,304,710,5,38,122.54,0.267423,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1,6,S032,304,712,5,48,152.96,0.267423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,7,S131,305,714,4,18,64.84,0.267407,0.6,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0
1,8,S129,305,716,4,14,54.06,0.267407,0.2,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0
1,9,S124,305,714,4,50,159.6,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,10,S068,305,714,4,50,158.22,0.266803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,11,S075,305,716,4,19,67.68,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.6666666666666666,0.0,1.0,0.0,1.0
1,12,S066,305,714,4,27,92.39,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
1,13,S065,305,714,4,23,81.47,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,14,S046,305,712,4,30,102.07,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
1,15,S042,305,714,4,43,140.57,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
1,16,S050,305,714,4,41,134.34,0.267407,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1,17,S062,305,714,4,16,61.37,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,1.0,0.6666666666666666,0.0,1.0
1,18,S087,305,716,4,22,78.93,0.267175,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1,19,S067,305,716,4,39,128.77,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1,20,S095,305,714,4,25,87.23,0.266417,0.6,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0
1,21,S074,305,714,4,36,118.63,0.267288,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,22,S138,305,712,4,50,160.01,0.267407,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1,23,S136,305,714,4,34,113.86,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
1,24,S014,305,714,4,25,87.23,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,0.0,1.0,0.6666666666666666,1.0
1,25,S026,305,714,4,22,75.62,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
1,26,S100,306,718,3,41,131.73,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1,27,S099,306,718,3,24,83.19,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,28,S102,306,716,3,21,75.43,0.267348,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
1,29,S106,306,716,3,38,129.83,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1,30,S501,306,714,3,41,139.09,0.26661,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
1,31,S504,306,714,3,36,116.93,0.26661,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
1,32,S134,306,718,3,50,160.15,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1,33,S133,306,718,3,17,62.39,0.267348,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,1.0
1,34,S116,306,718,3,50,158.51,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,35,S117,306,716,3,50,160.3,0.266796,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
1,36,S127,306,718,3,16,61.06,0.267348,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1,37,S119,306,716,3,50,161.59,0.267348,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
1,38,S111,306,718,3,49,157.75,0.267232,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,39,S109,306,718,3,50,161.11,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1,40,S137,306,716,3,33,110.45,0.26661,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1,41,S506,306,714,3,27,93.07,0.26661,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
1,42,S010,306,718,3,40,132.8,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1,43,S034,306,718,3,31,106.51,0.267348,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1,44,S037,306,718,3,38,126.82,0.267348,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,1.0
1,45,S022,306,718,3,40,137.4,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,46,S057,306,718,3,30,106.68,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,47,S056,306,718,3,26,93.64,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,48,S035,306,718,3,28,97.56,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,49,S044,306,718,3,45,147.59,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,50,S058,306,718,3,25,87.19,0.26661,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,1.0
1,51,S060,306,718,3,27,95.41,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,52,S054,306,716,3,24,85.88,0.26661,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1,53,S052,306,718,3,20,73.44,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,54,S064,306,716,3,20,73.11,0.26661,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1,55,S061,306,718,3,35,118.05,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
