model_a,model_b,n_samples,n11,n10,n01,n00,edwards_corr,statistic,pvalue,acc_a,acc_b,significant_0.05
LOSO,G10F,309,275,23,2,9,False,17.64,2.6691498031812692e-05,0.9644012944983819,0.8964401294498382,True
seed_1,seed_4,309,263,27,11,8,False,6.7368421052631575,0.009444165687832655,0.9385113268608414,0.8867313915857605,True
