seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
2,0,S011,303,708,6,32,108.85,0.266286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,S130,304,712,5,24,78.84,0.266352,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,1.0,0.0,1.0,0.0,1.0
2,2,S125,304,710,5,23,78.07,0.26661,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,3,S055,304,712,5,18,63.52,0.26661,0.7333333333333333,0.7333333333333333,0.8,0.0,0.6666666666666666,1.0,1.0,0.0,1.0
2,4,S071,304,712,5,28,89.16,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2,5,S132,304,710,5,37,114.1,0.267423,0.7333333333333333,0.7333333333333333,0.8,0.0,1.0,0.0,0.6666666666666666,1.0,1.0
2,6,S032,304,712,5,33,105.3,0.267423,0.7333333333333333,0.7333333333333333,0.8,1.0,0.0,1.0,0.6666666666666666,0.0,1.0
2,7,S131,305,714,4,35,109.48,0.267407,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
2,8,S129,305,716,4,25,82.81,0.267407,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0
2,9,S124,305,714,4,24,79.01,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,10,S068,305,714,4,50,148.75,0.266803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,11,S075,305,716,4,26,86.94,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2,12,S066,305,714,4,50,149.87,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2,13,S065,305,714,4,26,84.65,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,14,S046,305,712,4,30,95.72,0.267407,0.6,0.75,0.75,0.0,0.0,1.0,0.0,1.0,1.0
2,15,S042,305,714,4,16,57.47,0.267407,0.4,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0
2,16,S050,305,714,4,23,76.59,0.267407,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2,17,S062,305,714,4,18,64.18,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,1.0,0.6666666666666666,0.0,1.0
2,18,S087,305,716,4,25,83.94,0.267175,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2,19,S067,305,716,4,25,83.72,0.266417,0.6666666666666666,0.6666666666666666,0.75,1.0,0.6666666666666666,0.0,0.0,0.0,1.0
2,20,S095,305,714,4,30,95.94,0.266417,0.6,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0
2,21,S074,305,714,4,23,79.3,0.267288,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,22,S138,305,712,4,36,116.47,0.267407,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2,23,S136,305,714,4,28,93.77,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2,24,S014,305,714,4,16,62.71,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,0.0,1.0,0.6666666666666666,1.0
2,25,S026,305,714,4,15,59.28,0.267407,0.6,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
2,26,S100,306,718,3,50,164.44,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,27,S099,306,718,3,18,69.0,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,28,S102,306,716,3,28,99.16,0.267348,0.5,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0
2,29,S106,306,716,3,50,164.62,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2,30,S501,306,714,3,25,91.74,0.26661,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0
2,31,S504,306,714,3,30,105.29,0.26661,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
2,32,S134,306,718,3,44,146.8,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2,33,S133,306,718,3,21,80.37,0.267348,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,34,S116,306,718,3,50,163.82,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,35,S117,306,716,3,36,122.13,0.266796,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2,36,S127,306,718,3,50,161.86,0.267348,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,37,S119,306,716,3,33,113.11,0.267348,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2,38,S111,306,718,3,49,161.94,0.267232,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2,39,S109,306,718,3,40,134.64,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2,40,S137,306,716,3,36,123.24,0.26661,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2,41,S506,306,714,3,31,107.07,0.26661,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
2,42,S010,306,718,3,33,113.01,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,43,S034,306,718,3,26,92.16,0.267348,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,44,S037,306,718,3,35,117.65,0.267348,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,45,S022,306,718,3,45,145.1,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2,46,S057,306,718,3,37,117.85,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,47,S056,306,718,3,21,72.9,0.267348,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
2,48,S035,306,718,3,50,157.42,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,49,S044,306,718,3,43,140.68,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,50,S058,306,718,3,50,159.92,0.26661,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2,51,S060,306,718,3,43,140.62,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,52,S054,306,716,3,43,139.93,0.26661,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
2,53,S052,306,718,3,50,160.92,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,54,S064,306,716,3,32,108.02,0.26661,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2,55,S061,306,718,3,29,98.6,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,56,S089,306,718,3,50,161.28,0.267232,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,57,S108,306,716,3,41,133.91,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2,58,S115,306,716,3,32,106.94,0.266989,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2,59,S113,306,716,3,29,98.28,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2,60,S070,306,718,3,40,130.08,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,61,S076,306,718,3,21,74.77,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,62,S069,306,718,3,50,158.47,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,63,S080,306,716,3,24,83.69,0.266989,0.5,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0
2,64,S079,306,718,3,23,80.87,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,65,S078,306,718,3,45,145.55,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,66,S085,306,718,3,42,137.6,0.267348,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
