seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
8,0,S011,303,708,6,28,94.14,0.266286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1,S130,304,712,5,27,90.86,0.266352,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,1.0,0.0,1.0,0.0,1.0
8,2,S125,304,710,5,15,57.1,0.26661,0.16666666666666666,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0
8,3,S055,304,712,5,30,99.67,0.26661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
8,4,S071,304,712,5,27,90.93,0.267348,0.7333333333333333,0.7333333333333333,0.8,0.0,0.6666666666666666,0.0,1.0,1.0,1.0
8,5,S132,304,710,5,15,57.37,0.267423,0.4666666666666666,0.4666666666666666,0.6,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0
8,6,S032,304,712,5,38,122.6,0.267423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
8,7,S131,305,714,4,44,139.97,0.267407,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
8,8,S129,305,716,4,50,156.08,0.267407,0.6,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0
8,9,S124,305,714,4,43,136.46,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,10,S068,305,714,4,50,155.61,0.266803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,11,S075,305,716,4,22,76.48,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.6666666666666666,0.0,1.0,0.0,1.0
8,12,S066,305,714,4,50,157.19,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
8,13,S065,305,714,4,15,56.6,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,14,S046,305,712,4,33,108.67,0.267407,0.6,0.75,0.75,0.0,0.0,1.0,0.0,1.0,1.0
8,15,S042,305,714,4,30,99.64,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
