smooth_mode,aug_mode,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
F1,G0,0,0,278,278,31,45,89.66,0.266352,0.8021008403361344,0.8628535285081775,0.8709677419354839,0.5714285714285714,0.8333333333333334,0.6666666666666666,0.9411764705882353,0.8,1.0
F1,G0,0,1,278,278,31,48,87.64,0.267348,0.8876262626262627,0.9071358748778103,0.9032258064516129,0.6666666666666666,0.9090909090909091,1.0,1.0,0.75,1.0
F1,G0,0,2,278,278,31,49,89.03,0.266545,0.7323232323232324,0.8377321603128054,0.8387096774193549,0.0,0.7272727272727273,1.0,1.0,0.6666666666666666,1.0
F1,G0,0,3,278,278,31,50,90.42,0.267232,0.7658008658008658,0.7593632174277336,0.7741935483870968,0.4,0.7142857142857143,1.0,0.9090909090909091,0.5714285714285714,1.0
F1,G0,0,4,278,278,31,50,90.95,0.266989,0.9060606060606061,0.8979472140762463,0.9032258064516129,0.7272727272727273,0.8,1.0,1.0,0.9090909090909091,1.0
F1,G0,0,5,278,278,31,50,91.88,0.266073,0.9079365079365079,0.9333333333333332,0.9354838709677419,0.8571428571428571,1.0,0.8571428571428571,0.9333333333333333,0.8,1.0
F1,G0,0,6,278,278,31,30,63.02,0.267232,0.7490842490842491,0.902162353775257,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,1.0
F1,G0,0,7,278,278,31,39,75.95,0.267427,0.8263888888888888,0.8400537634408601,0.8709677419354839,0.3333333333333333,0.875,1.0,1.0,0.75,1.0
F1,G0,0,8,278,278,31,41,78.63,0.266352,0.8727095516569201,0.8962837200528202,0.9032258064516129,0.4,0.8888888888888888,1.0,1.0,1.0,0.9473684210526315
F1,G0,0,9,279,279,30,50,91.95,0.267656,0.8378787878787879,0.8678787878787879,0.8666666666666667,0.5,0.7272727272727273,0.8,1.0,1.0,1.0
F1,G0,1,0,278,278,31,50,91.64,0.266352,0.8060428849902533,0.8270137709866062,0.8387096774193549,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,0.9473684210526315
F1,G0,1,1,278,278,31,42,79.67,0.267348,0.7685786435786435,0.7963971512358609,0.8064516129032258,0.2857142857142857,0.6666666666666666,1.0,0.9090909090909091,0.75,1.0
F1,G0,1,2,278,278,31,24,53.8,0.266545,0.6402777777777778,0.7809139784946236,0.7741935483870968,0.0,0.6666666666666666,0.5,1.0,0.8,0.875
F1,G0,1,3,278,278,31,44,82.74,0.267232,0.7651515151515151,0.7639296187683284,0.7741935483870968,0.36363636363636365,0.7272727272727273,1.0,1.0,0.5,1.0
F1,G0,1,4,278,278,31,50,91.25,0.266989,0.8164983164983165,0.8406647116324536,0.8387096774193549,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.7272727272727273,1.0
F1,G0,1,5,278,278,31,26,57.24,0.266073,0.7134866767219709,0.7712134481584196,0.7741935483870968,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.9230769230769231,0.75,0.9411764705882353
F1,G0,1,6,278,278,31,50,91.78,0.267232,0.7594516594516594,0.9166596844016198,0.9032258064516129,0.9090909090909091,0.8571428571428571,0.8571428571428571,1.0,0.0,0.9333333333333333
F1,G0,1,7,278,278,31,50,91.81,0.267427,0.8402777777777778,0.8588709677419355,0.8709677419354839,0.5,0.875,1.0,1.0,0.6666666666666666,1.0
F1,G0,1,8,278,278,31,50,92.28,0.266352,0.8727095516569201,0.8962837200528202,0.9032258064516129,0.4,0.8888888888888888,1.0,1.0,1.0,0.9473684210526315
F1,G0,1,9,279,279,30,46,86.25,0.267656,0.8198717948717947,0.8682051282051282,0.8666666666666667,0.75,0.7692307692307693,0.8,0.9333333333333333,0.6666666666666666,1.0
F1,G0,2,0,278,278,31,50,92.48,0.266352,0.8457516339869281,0.8643896268184693,0.8709677419354839,0.6666666666666666,0.6666666666666666,0.8,0.9411764705882353,1.0,1.0
