seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
9,0,S011,303,708,6,50,158.09,0.266286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,S130,304,712,5,46,140.69,0.266352,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.0,0.0,1.0,1.0,1.0
9,2,S125,304,710,5,23,77.21,0.26661,0.6666666666666666,0.8,0.8,0.0,0.0,1.0,1.0,1.0,1.0
9,3,S055,304,712,5,50,151.0,0.26661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
9,4,S071,304,712,5,24,80.09,0.267348,0.7333333333333333,0.7333333333333333,0.8,0.0,0.6666666666666666,0.0,1.0,1.0,1.0
9,5,S132,304,710,5,27,88.35,0.267423,0.4444444444444444,0.5333333333333333,0.6,0.0,0.0,0.0,0.6666666666666666,1.0,1.0
9,6,S032,304,712,5,37,115.3,0.267423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
9,7,S131,305,714,4,50,151.96,0.267407,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
9,8,S129,305,716,4,13,49.79,0.267407,0.125,0.125,0.25,0.0,0.0,0.0,0.5,0.0,0.0
9,9,S124,305,714,4,21,72.16,0.267407,0.3333333333333333,0.41666666666666663,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,1.0
9,10,S068,305,714,4,50,152.09,0.266803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,11,S075,305,716,4,50,152.47,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
9,12,S066,305,714,4,35,110.62,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
9,13,S065,305,714,4,22,74.46,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,14,S046,305,712,4,22,74.27,0.267407,0.6,0.75,0.75,0.0,0.0,1.0,0.0,1.0,1.0
9,15,S042,305,714,4,38,118.53,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
9,16,S050,305,714,4,37,115.65,0.267407,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
9,17,S062,305,714,4,30,96.71,0.266417,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,18,S087,305,716,4,27,90.87,0.267175,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
