smooth_mode,aug_mode,n_seeds,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,accuracy_std,mean_f1_cm_anger,mean_f1_cm_disgust,mean_f1_cm_fear,mean_f1_cm_happiness,mean_f1_cm_sadness,mean_f1_cm_surprise
F0,G0,3,"[0, 1, 2]",0.8039192886230763,0.018049017616079223,0.7800932333061573,0.8237626297296061,0.846989247311828,0.010944877425110662,0.5636499961909038,0.8173469987325092,0.8532346592661116,0.9480904338560917,0.6611061995335404,0.9800874441593003
F0,G1,3,"[0, 1, 2]",0.8122271683237416,0.025261908632451657,0.7789378139005417,0.8401017254633034,0.8512186379928316,0.019891084584558905,0.5989614524786394,0.8208831986030197,0.8609625668449197,0.9457407756651675,0.6687028273725356,0.9781121889781669
F0,G2,3,"[0, 1, 2]",0.793297702259129,0.039149520187507926,0.739587600463683,0.8317908853184256,0.836236559139785,0.027006306279688,0.570559991783706,0.7853705261190543,0.8225768321513002,0.9439874657265962,0.6628891941391941,0.9744022036349239
F0,G3,3,"[0, 1, 2]",0.7916042936507005,0.024194467632125405,0.7700134119224273,0.8253874217767113,0.8319354838709678,0.018399982908295122,0.5601851851851852,0.7902862067325312,0.8226950354609929,0.9291463190166405,0.6786579038395019,0.9686551116693511
