seed,fold_idx,n_test_subjects,test_subjects,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
7,0,10,"['S011', 'S057', 'S059', 'S067', 'S077', 'S085', 'S089', 'S106', 'S127', 'S135']",278,654,31,50,176.56,0.266352,0.9013071895424837,0.8944971537001897,0.9032258064516129,0.8,0.6666666666666666,1.0,0.9411764705882353,1.0,1.0
7,1,10,"['S056', 'S065', 'S073', 'S081', 'S084', 'S108', 'S119', 'S126', 'S130', 'S136']",278,648,31,50,177.29,0.267348,0.7671717171717173,0.8056695992179863,0.8064516129032258,0.5,0.7272727272727273,0.8,0.9090909090909091,0.6666666666666666,1.0
7,2,10,"['S014', 'S035', 'S046', 'S086', 'S093', 'S096', 'S111', 'S114', 'S115', 'S125']",278,648,31,50,182.61,0.266545,0.7333333333333334,0.8580645161290323,0.8709677419354839,0.0,0.8,0.8,1.0,0.8,1.0
7,3,11,"['S026', 'S042', 'S044', 'S055', 'S088', 'S097', 'S109', 'S112', 'S113', 'S122', 'S999']",278,652,31,22,90.36,0.267232,0.7062770562770563,0.7146627565982404,0.7096774193548387,0.42857142857142855,0.5,1.0,0.9090909090909091,0.4,1.0
7,4,11,"['S050', 'S058', 'S070', 'S071', 'S090', 'S100', 'S110', 'S137', 'S501', 'S503', 'S505']",278,648,31,50,181.53,0.266989,0.8578347578347579,0.8704714640198511,0.8709677419354839,0.7692307692307693,0.8888888888888888,0.8,0.8888888888888888,0.8,1.0
7,5,11,"['S060', 'S062', 'S076', 'S082', 'S083', 'S094', 'S099', 'S101', 'S132', 'S504', 'S506']",278,648,31,39,143.49,0.266073,0.8267195767195767,0.8958013312852023,0.9032258064516129,0.5,1.0,0.8888888888888888,1.0,0.5714285714285714,1.0
7,6,11,"['S010', 'S028', 'S032', 'S054', 'S069', 'S087', 'S091', 'S092', 'S102', 'S105', 'S134']",278,654,31,50,179.66,0.267232,0.7943722943722943,0.9501466275659823,0.9354838709677419,0.9090909090909091,0.8571428571428571,1.0,1.0,0.0,1.0
7,7,11,"['S029', 'S034', 'S045', 'S052', 'S068', 'S080', 'S095', 'S098', 'S131', 'S133', 'S502']",278,652,31,46,166.78,0.267427,0.8402777777777778,0.8588709677419355,0.8709677419354839,0.5,0.875,1.0,1.0,0.6666666666666666,1.0
7,8,11,"['S005', 'S037', 'S051', 'S053', 'S064', 'S074', 'S075', 'S079', 'S107', 'S116', 'S129']",278,658,31,42,154.35,0.266352,0.8815789473684211,0.8938879456706281,0.9032258064516129,0.5,0.8421052631578947,1.0,1.0,1.0,0.9473684210526315
7,9,10,"['S022', 'S061', 'S063', 'S066', 'S072', 'S078', 'S117', 'S124', 'S128', 'S138']",279,654,30,50,177.0,0.267656,0.8467532467532467,0.8943722943722944,0.9,0.5714285714285714,0.9090909090909091,0.8,1.0,0.8,1.0
